date,open,high,low,close,volume,log_return,simple_return
2024-11-05,3306.81,3386.987,3302.047,3386.987,82112490200,0.02293001042544951,0.023194924063661304
2024-11-06,3395.222,3420.999,3367.081,3383.806,89585593000,-0.0009396241279393536,-0.0009391828194202922
2024-11-07,3359.985,3470.661,3356.258,3470.661,95955668000,0.0253439542359839,0.025667842660010765
2024-11-08,3502.133,3509.818,3443.193,3452.297,96403456200,-0.0053052591312550135,-0.005291211097828374
2024-11-11,3432.367,3471.122,3416.727,3470.066,81802543600,0.005133807350640396,0.0051470079196545004
2024-11-12,3469.891,3489.424,3402.042,3421.97,81792652400,-0.013957205322263633,-0.013860255107539743
2024-11-13,3406.916,3442.298,3404.525,3439.278,67366234800,0.005045157007172563,0.005057905241717453
2024-11-14,3429.505,3441.775,3376.153,3379.839,63155669000,-0.017433490411367103,-0.01728240636552203
2024-11-15,3369.809,3391.32,3330.726,3330.726,63028558300,-0.014637776976442751,-0.014531165537766677
2024-11-18,3344.69,3386.903,3309.008,3323.849,74395069200,-0.0020668494826896477,-0.0020647150200886477
2024-11-19,3324.883,3346.758,3284.133,3346.01,62502415100,0.006645142438115315,0.006667270384424828
2024-11-20,3337.678,3375.248,3333.002,3367.989,56615428900,0.0065472391381700135,0.006568719161030634
2024-11-21,3362.944,3378.518,3348.855,3370.404,53033183000,0.0007167881432259549,0.0007170450972375786
2024-11-22,3368.043,3372.003,3267.192,3267.192,63068779000,-0.03110171807933071,-0.030623035102023355
2024-11-25,3274.884,3285.456,3232.918,3263.76,53889739000,-0.0010509954187121195,-0.0010504433164625349
2024-11-26,3256.858,3285.328,3252.866,3259.757,47221930400,-0.0012272522635949912,-0.001226499497512079
2024-11-27,3250.591,3309.881,3227.355,3309.779,51120230300,0.015228767065249116,0.01534531561708441
2024-11-28,3308.28,3319.256,3290.364,3295.698,51195304700,-0.00426343815263408,-0.004254362602457817
2024-11-29,3295.21,3357.501,3293.69,3326.456,58022710200,0.00928949136104329,0.009332772602343997
2024-12-02,3328.482,3369.303,3323.009,3363.982,66847776200,0.011217918326758891,0.01128107511417542
2024-12-03,3366.285,3386.618,3348.374,3378.806,66303013900,0.004397001324512928,0.004406682318752075
2024-12-04,3376.572,3388.024,3352.943,3364.65,62102886200,-0.004198446848002746,-0.004189645691406896
