date,open,high,low,close,volume,amount,outstanding_share,turnover,log_return,simple_return
2021-05-26,1935.36,1965.01,1922.3,1945.9,3860420.0,8558038174.0,1256197800.0,0.003073098838415415,0.011552157828347731,0.011619141691143975
2021-05-27,1938.03,2033.55,1929.33,1967.81,4537338.0,10240368980.0,1256197800.0,0.0036119614283674118,0.011196654271900641,0.011259571406547098
2021-05-28,1964.28,1972.19,1933.2,1954.66,2580731.0,5741331986.0,1256197800.0,0.002054398598692021,-0.00670498398464936,-0.006682555734547457
2021-05-31,1941.95,1944.45,1903.82,1944.15,3173900.0,6960864260.0,1256197800.0,0.0025265925477659648,-0.005391401713866983,-0.00537689419131715
2021-06-01,1947.65,1971.27,1933.63,1964.26,3061634.0,6832594466.0,1256197800.0,0.0024372228641062737,0.010290720507132534,0.010343852069027548
2021-06-02,1972.19,1984.47,1935.54,1947.65,2286277.0,5088908384.0,1256197800.0,0.001819997615025277,-0.008492066442901347,-0.008456110698176311
2021-06-03,1945.9,1981.26,1937.2,1947.84,2345031.0,5242453019.0,1256197800.0,0.001866768911711197,9.754870383460457e-05,9.75534618641305e-05
2021-06-04,1941.52,2005.5,1940.67,1973.51,3142219.0,7058715115.0,1256197800.0,0.0025013727933610457,0.01309261692410324,0.013178700509282049
2021-06-07,1985.34,1997.61,1963.44,1990.6,2546627.0,5756592694.0,1256197800.0,0.002027250007920727,0.008622417582300201,0.008659697695983182
2021-06-08,1980.96,1998.48,1894.31,1920.48,4731363.0,10479943156.0,1256197800.0,0.0037664156074783766,-0.035860946034929064,-0.035225560132623235
2021-06-09,1921.36,1940.64,1893.4,1927.93,2550235.0,5591378817.0,1256197800.0,0.0020301221670663647,0.0038717336803975044,0.003879238523702533
2021-06-10,1923.99,1973.4,1919.67,1962.1,2556663.0,5707338424.0,1256197800.0,0.002035239195610755,0.01756843976862399,0.017723672539978086
2021-06-11,1962.55,1966.94,1909.79,1909.79,3397066.0,7513797036.0,1256197800.0,0.0027042445067170153,-0.027022039874044168,-0.026660210998420086
